question,document
What do I need to set up before calling Gemini from the course code?,0ae5c221b9
How do I change the OpenAI client so it talks to Google’s Gemini API instead of OpenAI?,0ae5c221b9
Is there an example of a helper function that wraps Gemini chat completions in the notebook?,0ae5c221b9
Why do I need to adjust the notebook code when switching from Responses to the older chat completions format?,0ae5c221b9
How do I get a Pydantic object back from Gemini if the newer Responses API and `responses.parse` aren’t working for me?,341f71f28c
What’s the OpenAI SDK way to make Gemini return structured data through the OpenAI-compatible endpoint?,341f71f28c
"Can I still use `chat.completions.parse` with Gemini, and how do I set up the Pydantic schema for that?",341f71f28c
What should the code look like if I want Gemini to output a list of FAQ questions as parsed objects instead of raw JSON?,341f71f28c
Is there a way to avoid manual JSON parsing when calling Gemini from the OpenAI Python client?,341f71f28c
"How do I install Ollama on macOS, Windows, or Linux exactly?",1d0b969028
"After installing Ollama, what command should I run to start using Llama 3 locally?",1d0b969028
How can I check if the Ollama server is actually running on my machine?,1d0b969028
What do I need to install in Python to call Ollama from a script?,1d0b969028
Can you show a tiny Python example for chatting with llama3 through Ollama?,1d0b969028
How do I fix a connection refused error when I try to prompt Ollama in the RAG homework?,c6fc2d4d11
"My Ollama RAG notebook says connection refused — do I need to restart the server, and how?",c6fc2d4d11
What should I do if Ollama stops responding during the homework and I get a refused connection error?,c6fc2d4d11
Is there a quick command to bring Ollama back up when the RAG exercise fails with connection refused?,c6fc2d4d11
"After restarting the notebook, do I need to run the Ollama serve cell again to avoid the connection refused issue?",c6fc2d4d11
Why do I get a different token count from OpenAI when I use tiktoken on my prompt?,bf0403d21b
Is it normal that tiktoken says one number of tokens but the API usage shows a few more?,bf0403d21b
What extra tokens does chat.completions.create add behind the scenes?,bf0403d21b
Why does a simple user message count more tokens in OpenAI than the text itself seems to have?,bf0403d21b
"Can whitespace, newlines, or weird Unicode make OpenAI’s token count higher than my local count?",bf0403d21b
"How can I keep my API key loaded automatically when I switch into a project folder, instead of typing export every time?",8b2f5e9d04
Is there a tool similar to direnv that can load both .env and .envrc and work across different shells?,8b2f5e9d04
What should I add to gitignore so my secret key files don’t get pushed to GitHub?,8b2f5e9d04
"If I’m using GitHub Codespaces, what’s the best way to store API keys without putting them in the repo?",8b2f5e9d04
"For a Python script, how do I load environment variables from a .env file at startup?",8b2f5e9d04
How do I decide the right field weights in minsearch or any other search engine?,87d4ea4e08
Is there a good way to tune search field weights instead of just guessing and checking?,87d4ea4e08
What’s the best method to test different weight settings for retrieval fields?,87d4ea4e08
"Should I use a labeled dataset to choose field weights, and what metrics should I look at?",87d4ea4e08
"For a small RAG project, is trial and error enough for field weights, or should I evaluate them properly?",87d4ea4e08
"What should I clean out before using docs for RAG, like HTML junk or duplicates?",649c280e6d
"Do I need to keep things such as titles, dates, page numbers, and speaker names when preparing data for retrieval?",649c280e6d
"Is JSON the best format for RAG documents, or can I use something else too?",649c280e6d
How should I split documents so the chunks still keep the right context together?,649c280e6d
What metadata is actually worth saving for later filtering or ranking in RAG?,649c280e6d
"Why does uv show ""Failed to hardlink files"" in GitHub Codespaces, and do I need to worry about it?",acf8fa5356
"If uv can't hardlink packages in Codespaces, does the install still work or does it break?",acf8fa5356
How can I stop the uv hardlink warning for just my current terminal session?,acf8fa5356
What's the easiest way to make uv always use copy mode instead of hardlinking in my shell?,acf8fa5356
Is there any official uv doc I should check for this warning and the copy fallback?,acf8fa5356
"I keep getting ""dotenv is not recognized"" — what package do I need to install for this in Python?",0bed1f48da
How do I fix the error where dotenv isn't recognized when I try to load env vars?,0bed1f48da
What should I add with uv if I want to use load_dotenv() in my project?,0bed1f48da
"Is there a specific pip/uv package for dotenv, or do I need something else?",0bed1f48da
"After installing the dotenv package, how am I supposed to import and call it in Python?",0bed1f48da
Can I do this course on my own laptop instead of using Codespaces?,aa310de435
"Is Codespaces required for Module 1, or can I set everything up locally?",aa310de435
What do I need installed if I want to run the RAG module on my machine?,aa310de435
"If I avoid Codespaces, do I have to use Python, uv, Jupyter, and Docker myself?",aa310de435
Is it okay to work locally as long as I keep my setup reproducible and documented?,aa310de435
"If I don’t commit my work in Codespaces, where does the code actually live?",610ccb23c0
Is code saved in a Codespaces Linux VM even before I push or commit it?,610ccb23c0
Do I still need to commit regularly if Codespaces already keeps my files?,610ccb23c0
"What happens to my uncommitted code if my Codespace stops, disconnects, or gets deleted?",610ccb23c0
Why is it important to commit often when working in GitHub Codespaces?,610ccb23c0
Why does WSL2 say the model needs more memory than available when my PC has enough RAM?,f3dd94f323
How do I make WSL2 use more RAM so I can run this model?,f3dd94f323
Where do I put the .wslconfig file to increase WSL2 memory?,f3dd94f323
"What should I add inside .wslconfig to give WSL2, like, 8GB of RAM?",f3dd94f323
"After changing WSL2 memory, how can I restart it and check that the new limit is active?",f3dd94f323
"Why does my GitHub Codespace keep getting stuck on ""Finishing up"" and what can I try to reconnect it?",830f3d2018
"If my Codespace won’t open in VS Code, is there another way to launch it or fix the connection issue?",830f3d2018
What should I do if my setup seems to disappear after a rebuild or after starting a fresh Codespace?,830f3d2018
"Does the stuff in /workspaces survive when I stop and start a Codespace, or can it be lost?",830f3d2018
"If Codespaces keeps acting flaky, is it okay to do the course on my own machine instead?",830f3d2018
"Can I use a different LLM provider instead of OpenAI for the course, or is it required to stick with OpenAI?",c6ff9083c0
"If my region blocks the provider used in the course, what are the easiest alternatives I can switch to?",c6ff9083c0
"Which providers work with the course code without major changes, and what do I usually need to update?",c6ff9083c0
Can I run the model locally with tools like Ollama or vLLM and still use the course notebooks?,c6ff9083c0
Is there a list of recommended OpenAI alternatives or local model options somewhere in the course materials?,c6ff9083c0
How can I stop 429 errors from OpenAI when I'm looping through lots of docs in a notebook?,8e21752415
Is there a way to make the OpenAI client retry rate-limit failures instead of my run crashing?,8e21752415
What should I do in a thread pool so I don't go over the per-minute request cap?,8e21752415
How do I avoid re-calling OpenAI every time I rerun the notebook?,8e21752415
Should I batch inputs or use a cheaper model/provider to stay under limits during the course?,8e21752415
How do I print the full LLM response object so I can see every field in it?,4a2c64c6e7
"If my API response is a Pydantic model, what’s the easiest way to convert it before inspecting it?",4a2c64c6e7
Where should I look in the response to find tool calls or function calling data?,4a2c64c6e7
How can I check token usage like prompt and completion tokens in a provider response?,4a2c64c6e7
What should I change in the course code when I’m using a different LLM provider and the field names don’t match OpenAI’s?,4a2c64c6e7
"Why does uv keep picking the virtualenv from my old project, and how can I make it use the one in the current folder?",91675fa206
"If I have several projects with their own .venv folders, what steps should I follow so uv stops using the wrong Python environment?",91675fa206
"Do I need to run deactivate before switching to another project’s environment, or is cd + uv venv enough?",91675fa206
How can I check that the Python I’m using actually comes from the project’s .venv and not some previous folder?,91675fa206
What’s the right way to create and activate a new .venv in the project directory when uv seems stuck on another environment?,91675fa206
"I added a package in GitHub Codespaces, but my Jupyter notebook still says import error. How do I check if the notebook is using another Python env?",74486f4c87
"In Codespaces, how can I see which interpreter my notebook kernel is running, and compare it with the one where I installed the package?",74486f4c87
"I ran `uv pip list` and the package is there, but `import ...` still fails in the notebook. What should I switch in the kernel picker?",74486f4c87
"After selecting the repo `.venv` in Jupyter, do I need to do anything else before trying the import again?",74486f4c87
What’s the quickest way to tell whether my notebook is pointed at the same environment as the Codespaces terminal?,74486f4c87
"In agentic RAG, what exactly counts as a tool or function?",c296ea5a21
Do I need to worry about the difference between tools and functions in this course?,c296ea5a21
Why would an LLM call a tool instead of answering directly?,c296ea5a21
What kinds of external help can a tool/function give in RAG?,c296ea5a21
How is tool use in agentic RAG different from the retrieval step in basic RAG?,c296ea5a21
"Are there any free LLMs that support tool use for development, like Groq models or similar?",0d74a3616f
"Which Groq models can I use with tool calling for free, for example Deepseek R1 or Llama 4?",0d74a3616f
"Besides OpenAI, what other providers support function calling or tool use in agentic RAG setups?",0d74a3616f
"Do Mistral, Gemini, or local Ollama models work with tools, and are they free to try?",0d74a3616f
"If I switch away from OpenAI, do I need to change my code because tool schemas or response formats are different?",0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I switch to a Mistral or Groq model with OpenAI's Responses API?,9e7b3f0c25
"Is `client.responses.create()` only meant for OpenAI models, or should it work with other providers too?",9e7b3f0c25
What should I use instead of `response.output` if I'm calling a non-OpenAI model?,9e7b3f0c25
How do I change my code to work with chat completions for providers that don't support the Responses API?,9e7b3f0c25
"For the course homework, is it okay to keep using `chat.completions` instead of the newer Responses API?",9e7b3f0c25
I'm getting a 400 error in Azure OpenAI about `tools[0].function` being missing — what should I change in my tool JSON?,b9c7c6bb34
How do I define `get_weather_tool` so Azure OpenAI accepts it without the missing parameter error?,b9c7c6bb34
What does the `get_weather_tool` schema need to look like for the weather function to work in Azure OpenAI?,b9c7c6bb34
Why am I seeing `Missing required parameter: 'tools[0].function'` and what’s the correct JSON structure for the tool?,b9c7c6bb34
"Can you show the proper `get_weather_tool` format with `type`, `function`, and `parameters` for Azure OpenAI?",b9c7c6bb34
How do I stop getting a 404 in toyaikit when I switch from OpenAI to Groq or another provider?,0224d980b3
What should I use in toyaikit if I want Groq to work with my tools instead of the OpenAI Responses endpoint?,0224d980b3
"Can I use Anthropic with toyaikit for tool calling, and what runner/client setup should I use?",0224d980b3
"Why does toyaikit fail with non-OpenAI APIs, and is it because of the runner or the endpoint it calls?",0224d980b3
"In toyaikit, when should I use `runner.loop(prompt=...)` versus `runner.run()`, especially with Groq or Anthropic?",0224d980b3
Where do I actually find the Module 1 homework questions for this course?,53f15299b6
Is there a GitHub page with the first homework instructions and materials?,53f15299b6
"Do I need to check the course platform, or is the homework only in the repo?",53f15299b6
"For the 2026 Module 1 assignment, which links should I open first?",53f15299b6
"Besides submission and deadlines, where else are the homework details posted?",53f15299b6
Why am I getting an empty list back after filtering my query in HW Q3?,83da208a64
Could this be happening because I indexed the data in the wrong order?,83da208a64
Do I need to set the index settings before loading the documents?,83da208a64
What should I check first if my query filters return nothing in the homework?,83da208a64
Is there a problem with how I created the index before adding data?,83da208a64
Why do I get APIStatusError 402 from OpenRouter when I call responses.create()?,cfb07a27d5
What’s the quickest fix for the 402 error in Module 1 homework when using responses.create()?,cfb07a27d5
Where should I add max_output_tokens=1024 in rag_helper.py for the homework?,cfb07a27d5
How do I set max_output_tokens in ToyAIKit OpenAIClient for Q6?,cfb07a27d5
"If I still see 402 after limiting output tokens, what should I check in my .env and OpenRouter setup?",cfb07a27d5
"In the Module 1 homework, when people say to point RAG at the chunk index, do they mean using the split docs instead of the original ones?",b4300adeb1
Should I fit the search index on the chunked documents or on the full documents in the homework RAG setup?,b4300adeb1
"If I have `documents` and `chunks`, which one should I pass to `index.fit(...)` for the homework?",b4300adeb1
Does RAG retrieve whole records or only the chunks after splitting in Module 1?,b4300adeb1
Why does using the chunk index help reduce the amount of context sent to the model?,b4300adeb1
"For the Module 1 homework, do my numeric answers have to exactly match one of the options, or can I pick the nearest one?",5e4ca64cb5
"If my result is a little different from the multiple-choice answers, what should I do in the homework?",5e4ca64cb5
Why does my homework output sometimes not line up perfectly with the listed options?,5e4ca64cb5
"When is it okay to choose the closest answer in the homework, and when should I re-check everything?",5e4ca64cb5
Could different dataset versions or rounding make my homework answer slightly off from the choices?,5e4ca64cb5
"Where do I check first if a Module 1 homework task is confusing, the course page or GitHub?",7d3a2e3505
"Is there a separate homework instructions file for the 2026 Module 1 cohort, and where can I find it?",7d3a2e3505
Why does the homework sometimes feel different from the lesson even though it uses the same workflow?,7d3a2e3505
"What should I include when I ask about a homework issue in Slack, screenshot or text output?",7d3a2e3505
"If the assignment wording is still unclear after reading the homework repo, what’s the best next step?",7d3a2e3505
"For the Module 1 homework, how am I supposed to count tokens if I’m using a provider other than OpenAI?",fe8fed31e6
"If my LLM API doesn’t give me OpenAI-style token usage, what should I look at instead for the homework?",fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face in Module 1?",fe8fed31e6
What should I do if the model response has no usage field at all and I still need a token count?,fe8fed31e6
"For the multiple-choice questions in this homework, what’s the best way to answer when the token count is only an estimate?",fe8fed31e6
"Why does the homework checker give a non-200 error for my repo link, and what should I check first?",bcdb8740ce
"Should I submit the GitHub URL with .git at the end, or just the normal repo link?",bcdb8740ce
"My homework repo works when I'm logged in, but the checker still fails with 404/500 — could it be private?",bcdb8740ce
How can I quickly tell if the URL I submitted is actually reachable by the grader?,bcdb8740ce
What are the common reasons a repo URL gets rejected even though the link looks correct?,bcdb8740ce
"What exactly are embeddings in vector search, and why do people use them?",69430a79a8
How do embeddings turn text or other non-numeric data into numbers without losing meaning?,69430a79a8
Why should similar inputs end up with similar embedding vectors?,69430a79a8
How does the distance between embedding values help with semantic similarity search?,69430a79a8
"What’s the connection between embeddings, vector space models, and dimensionality reduction?",69430a79a8
"How do I get rid of the warning about ""multi-qa-mpnet-base-dot-v1"" and sentence transformers v3?",aa3f597424
"What should I install to suppress the ""was made on sentence transformers v3.0.0"" message?",aa3f597424
Is upgrading sentence-transformers enough to stop that model compatibility warning?,aa3f597424
Which pip command fixes the warning for multi-qa-mpnet-base-dot-v1?,aa3f597424
Do I need sentence-transformers 3.0.0 or newer to remove this warning?,aa3f597424
Why did the lesson just use `.dot(...)` for similarity instead of doing cosine similarity the usual way?,92cd22cada
"Are the embeddings from the model already unit length, or do we need to normalize them first?",92cd22cada
"Why does the homework say to normalize vectors before comparing them, but the lesson didn’t bother with that?",92cd22cada
"With TF-IDF + SVD embeddings, can I still use dot product as cosine similarity, or not?",92cd22cada
What’s the real difference between the lesson embeddings and the homework ones when it comes to similarity calculation?,92cd22cada
"For vector search, do I embed just the answer text, just the question, or both together?",5c4a8d2e60
"What is the best thing to index for semantic search: question only, answer only, or question plus answer?",5c4a8d2e60
"Should I store embeddings from the FAQ question field, the text field, or a combination of both?",5c4a8d2e60
"Is there a recommended way to build vectors for the FAQ data, or does it depend on the dataset?",5c4a8d2e60
"How do I decide whether to embed question, answer, or question + text for the best search results?",5c4a8d2e60
What does cosine similarity actually measure between two vectors?,db78580409
How is cosine similarity used when comparing documents in text analysis?,db78580409
"What kind of vector values do you usually use for cosine similarity, like word counts or TF-IDF?",db78580409
"What does it mean if cosine similarity is 1, 0, or -1?",db78580409
Why is cosine similarity a useful metric for checking how similar two documents are?,db78580409
Why does cosine similarity become just a dot product once the vectors are normalized?,95feb4e75b
How does normalizing embeddings make cosine similarity ignore vector length?,95feb4e75b
Why can we use matrix multiplication to get cosine similarity scores for the query and all documents?,95feb4e75b
What changes in cosine similarity when both the document embeddings and the query vector have unit length?,95feb4e75b
Is cosine similarity between embeddings basically the same as multiplying the embedding matrix by the query vector?,95feb4e75b
"For Module 2, do I need to make a fresh GitHub repo, or can I just spin up another codespace from the repo I already have?",1e829a8c6f
Why does the course suggest using a separate codespace for the vector search module instead of keeping everything in the same one?,1e829a8c6f
"If I already have my Module 1 environment, is there any reason not to reuse it for Module 2 and the heavier dependencies?",1e829a8c6f
"When I finish Module 2, can I just delete the codespace without losing everything, or should I commit my changes first?",1e829a8c6f
"Is a codespace basically the same thing as a local environment for this course, or is it just an isolated setup created from my existing repository?",1e829a8c6f
Why does download.py stay stuck at 0% when it's trying to get model.onnx from HuggingFace?,29b69fbe0b
Is there a way to avoid the download.py hang on HuggingFace CDN and just grab model.onnx manually?,29b69fbe0b
What should I do if the model.onnx download never moves past 0% in download.py?,29b69fbe0b
Can I download model.onnx from the browser and place it somewhere so download.py won't try again?,29b69fbe0b
How does download.py know to skip model.onnx after I save it locally?,29b69fbe0b
"Why does the matrix version of vector search not exactly match the for-loop output, even though both are doing the same dot product?",e889793af9
"Is it normal if `np.allclose(scores, scores_loop)` returns `False` when I compare the vector search results from `X.dot(v_query)` and a Python loop?",e889793af9
Why do the scores from `X.dot(v_query)` and the loop version differ in the last digits only?,e889793af9
Should I worry if the optimized BLAS version and the sequential loop give slightly different vector search scores?,e889793af9
What’s the right way to compare vector search results from a matrix multiply and a loop if exact equality doesn’t work?,e889793af9
Why am I getting IndexError: list index out of range when I try to access the best chunk?,1a7b27c4df
Could this error be happening because my embeddings count doesn't match my document chunks?,1a7b27c4df
How do I make sure I create embeddings from the chunk list correctly in vector search?,1a7b27c4df
What should I check if `X` and `len(chunks)` are not the same in my code?,1a7b27c4df
Is there a recommended way to generate embeddings directly from chunks so I don't get this indexing issue?,1a7b27c4df
Why would FastEmbed still try the network and fail with SSL if I already cached the model?,6609b934b6
How do I make TextEmbedding load only from my local FastEmbed cache inside a container?,6609b934b6
Do I need to use the same cache folder when downloading the model first and when loading it later?,6609b934b6
Can I use cache_dir and local_files_only with SparseTextEmbedding or TextCrossEncoder too?,6609b934b6
"If I already have the model files on disk, when should I use specific_model_path instead of the cache?",6609b934b6
Why is my Q2 cosine similarity from Module 2 homework not matching any of the multiple-choice answers?,eaa17a9dc6
"Do I need to use the `Embedder` from `embedder.py` for Homework 2, or can I just use `sentence-transformers`?",eaa17a9dc6
Could the wrong embedding model be the reason my cosine score is way off in Q2?,eaa17a9dc6
"For the homework similarity check, am I supposed to embed the page `content` field or something else?",eaa17a9dc6
"If my cosine similarity is a tiny bit different after using the right model, should I still just choose the nearest option?",eaa17a9dc6
How do I set up Gemini API key for Kestra so the flows can actually read it?,3860e5fe8b
Do I need both a normal GEMINI_API_KEY and a SECRET_GEMINI_API_KEY for the module?,3860e5fe8b
What is the right way to add OpenAI and Tavily keys before starting Kestra?,3860e5fe8b
Why does Kestra want secrets in base64 and with the SECRET_ prefix?,3860e5fe8b
"In a Kestra flow, how do I reference a secret like the Gemini key without exposing it?",3860e5fe8b
"Why does Kestra Copilot keep saying it can only help with creating flows, and what should I check first?",04440cab11
"In Kestra Open Source, which Gemini variable does the AI Copilot actually read: the plain key or the secret/base64 one?",04440cab11
How do I set up the Gemini API key for the Copilot so it works after restarting Docker Compose?,04440cab11
"If the Copilot still refuses after I exported the key, what are the common causes I should look for?",04440cab11
"Do I need two different Gemini env vars for Kestra flows and the Copilot, and what’s the difference between them?",04440cab11
Why does my Kestra flow say the Gemini key is invalid even though I set SECRET_GEMINI_API_KEY?,c8ca21af33
