question,answer_llm,answer_orig,document
"If I want to ask a question during the live session, should I use chat or Slido?","Use **Slido**, not chat.

Students should submit questions to **Slido** during live sessions, and the Slido link is pinned in the chat when live. Chat questions may be missed if the room is active.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Is there another place to watch the live sessions besides Zoom, like YouTube?","Yes — students can watch the live sessions on the DataTalksClub YouTube Channel, and the video URL is also posted in the announcements channel on Telegram and Slack before it begins.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
How do I get started with the LLM Zoomcamp and what should I check first?,"Start with these three things:

1. The [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/)
2. The [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/)
3. The [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp)

You can begin whenever you want—the videos and GitHub materials are available, and the deadlines are in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:
- Watch the lesson videos
- Work through the lesson notebooks/code
- Read the homework instructions on GitHub
- Submit your answers on the course platform before the deadline

The first thing to check is the course management platform for the current syllabus, deadlines, homework, and progress tracking.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
What’s the usual weekly flow for this course after I watch the lessons?,"A typical weekly flow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit your answers through the course platform before the deadline.

Homework usually follows the lesson closely, but uses a different dataset or a slightly different task.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Do I have to start on a fixed date, or can I join the course anytime?","You can join anytime — you don’t have to start on a fixed date. The course videos, GitHub materials, and homework are available, and you can start learning whenever you want.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Where do I find the videos, notebooks, homework, and deadline info for the course?","Use the **LLM Zoomcamp GitHub repository** as the main entry point for the course materials.

- **Videos:** open the lesson folders in the GitHub repo; each lesson page has the relevant videos linked at the top.
- **Notebooks / lesson code:** also in the lesson folders in the GitHub repo.
- **Homework instructions:** in the course GitHub repo, and also in the course management platform for submission.
- **Deadlines:** listed in the **course management platform**.

So the main places are:
1. **GitHub repo** for videos, notebooks, and homework instructions  
2. **Course management platform** for deadlines and homework submission","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Is homework basically the same as the lesson exercises, or is it different?","Homework is **similar to the lesson exercises, but not the same**.

It usually follows the same workflow and uses the same ideas, but it may:

- use a **different dataset**
- ask you to apply the idea in a **slightly different way**
- have details that differ from the lesson

So you should treat homework as **related practice**, not a copy of the lesson exercises.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How do I find my own entry on the leaderboard if I can’t spot my name?,"Click the **“Jump to your record on the leaderboard”** link — it will take you directly to your own entry.

If you want to see your leaderboard/display name first, open **“Edit Course Profile.”**","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Why do I show up with some random nickname like ""Lucid Elbakyan"" on the leaderboard?","When you set up your account, you’re automatically assigned a random public display name, like “Lucid Elbakyan.” That’s why it shows up on the leaderboard.

You can change it in **Edit Course Profile**:
- **First field**: your public nickname/display name for the leaderboard
- **Second field**: your official name for the certificate

If you want, I can also explain how to find your entry on the leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I check what my display name is for the course?,Click **“Edit Course Profile”**. Your **first field** is your public **display name/nickname** for the leaderboard.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I change the name shown on the leaderboard to my Slack or GitHub username?,"Yes. You can change the first field in **Edit Course Profile** to your public display name, including your **Slack username** or **GitHub username**. This is the name shown on the leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What name should I put if I want my certificate to show my real full name instead of the random one?,Put your **official real full name** in the **second field** under **Edit Course Profile**. That is the name that will appear on your certificate.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Can I do the course on my own pace and still get the certificate, or do I need to join a live cohort?","No. You can work through the material in self-paced mode, but to get the certificate you need to finish the course with a live cohort and submit the capstone while submissions are open.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
"If I only study the lessons in self-paced mode, is that enough to earn the course certificate?","No. You can work through the lessons in self-paced mode, but you only earn the certificate if you finish the course with a live cohort, including the capstone project and required peer reviews.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
"What exactly do I need to complete for the certificate: homework, capstone, peer reviews, or all of them?","You need to complete the **capstone project** and the **required peer reviews**.

- **Homework is not required** for the certificate.
- You can study in self-paced mode, but **project submission and peer reviews must happen while a live cohort is accepting them**.

","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
Can I prepare the capstone project before the cohort starts and submit it later for the certificate?,I don't know.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
Is it possible to finish the course material offline and then get the certificate once a live cohort opens submissions?,"Yes — you can work through the material and prepare your project offline in self-paced mode, but to get the certificate you must submit the capstone and complete the required peer reviews while a live cohort is accepting them.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
Can I still get the certificate if I skipped the first homework?,"Yes. Homework is not mandatory, so skipping the first homework does **not** prevent you from getting the certificate. You still need to **pass the Capstone project** and complete the **required peer reviews** while a live cohort is accepting submissions.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Do I have to submit all the homework to earn the course certificate?,"No. Homework is not required for the certificate. You need to finish the course with a live cohort, complete the capstone project, and do the required peer reviews.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Is the capstone project enough to get the certificate, or are the homework assignments required too?","No — homework assignments are **not required** for the certificate.

To get the certificate, you need to:

- **finish the capstone project**
- **complete the required peer reviews**
- do this while a **live cohort** is accepting submissions

Homework is **optional**. It’s recommended for practice and affects leaderboard points, but it is **not mandatory** for certification.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If homework isn’t mandatory, what actually decides whether I get the certificate?","To get the certificate, you need to **pass the Capstone project** and complete the **required peer reviews**. Homework is **not mandatory** and does not determine certificate eligibility.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Do homework scores affect the certificate, or are they only used for the leaderboard?",Homework scores only count toward the leaderboard rank. They do not affect the certificate; you only need to pass the Capstone project to get the certificate.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does the homework content keep changing before the deadline?,"Because the homework is not finalized yet. If the homework title contains `[DRAFT]`, it means it’s still a draft, and the content can change until:

- the homework form is open on the course management platform, and
- the title no longer contains `[DRAFT]`.

Working on it before then is at your own risk, since the final version may differ.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does it mean when the homework title has [DRAFT] in it?,It means the homework is not ready yet.,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When can I tell that a homework is actually final and ready to do?,"A homework is actually final and ready only when **both** are true:

- The homework form is open on the course management platform.
- The homework title does **not** contain `[DRAFT]`.

If the title still has `[DRAFT]`, the content can still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Is it safe to start a homework early if it still says DRAFT?,"Working on it early is at your own risk. If the homework title still says `[DRAFT]`, it is not ready yet, and the content can still change. The homework is only ready when the form is open and the title no longer contains `[DRAFT]`.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Can the homework instructions or tasks still be updated after I see them?,"Yes—if the homework is still marked as **[DRAFT]**, the content can still change.

The homework is considered ready only when:

- the homework form is open on the course platform, and
- the homework title does **not** contain `[DRAFT]`.

So if you see it while it’s still a draft, tasks or instructions may be updated.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next time this course will be offered?,Summer 2027.,Summer 2027.,bd31146b0e
Do you know when the next course session starts?,The next course session starts in **Summer 2027**.,Summer 2027.,bd31146b0e
"Is there an upcoming run of the course, and if so, when?",I don't know.,Summer 2027.,bd31146b0e
When can I expect this course to be offered again?,Summer 2027.,Summer 2027.,bd31146b0e
What’s the next scheduled offering for this course?,Summer 2027.,Summer 2027.,bd31146b0e
"Are the lecture videos available somewhere, and where do I find the right ones for each lesson?","Yes — the lecture videos are available in the **LLM Zoomcamp GitHub repository**.

To find the right videos for each lesson:

1. Open the relevant **lesson folder** in the repo.
2. Go to the **lesson page**.
3. The **videos are linked at the top** of each lesson page.

The GitHub repo is the best place to start because it’s usually updated more reliably than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
What’s the main place I should start with for this course if I want the videos and materials?,"The main place to start is the **LLM Zoomcamp GitHub repository**.

- Go to: https://github.com/DataTalksClub/llm-zoomcamp
- Open the lesson folders there — each lesson page has the relevant videos linked at the top.
- For the most up-to-date materials, follow the GitHub repo first.

If you want, I can also point you to the exact starting docs for the course workflow.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Do the lesson pages include links to the videos, or do I need to search YouTube separately?",Yes — the lesson pages include links to the relevant videos at the top of each lesson folder/page in the GitHub repo. You don’t need to search YouTube separately.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Is the GitHub repo the main source for the course content, or is the YouTube playlist better to use?","The **GitHub repo is the main source** for the course content.

Use the **LLM Zoomcamp GitHub repository** as the main entry point, and open the lesson folders there. Each lesson page has the relevant videos linked at the top.

When in doubt, **follow the GitHub repo first**, because it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Where can I find the videos for each lecture without getting lost in old links?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point. Open the **lesson folders** there, and each lesson page has the relevant videos linked **at the top**.

If you’re unsure, **follow the GitHub repo first** rather than old YouTube links, because it’s easier to keep updated.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"How do I keep track of the LLM Zoomcamp syllabus, homework deadlines, and my progress in one place?","Use the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It includes the **current cohort structure, homework, deadlines, and progress tracking**.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there a course platform for checking the current cohort structure and upcoming assignments in LLM Zoomcamp?,"Yes — use the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the **current cohort structure**, **homework**, **deadlines**, and **progress tracking**.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Where should I go to see the latest LLM Zoomcamp deadlines and follow my progress through the course?,"Go to the **LLM Zoomcamp course management platform**: https://courses.datatalks.club/llm-zoomcamp-2026/

That’s where you can see the **latest deadlines** and **track your progress** through the course.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Does LLM Zoomcamp have a management site for syllabus updates, homework, and deadline tracking like the other Zoomcamps?","Yes — LLM Zoomcamp has a course management platform, just like the other Zoomcamps.

You can use it to track:
- syllabus / cohort structure
- homework
- deadlines
- progress tracking

The link is:
https://courses.datatalks.club/llm-zoomcamp-2026/","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"What’s the official place to monitor the LLM Zoomcamp course structure, homework, and progress?","The official place to monitor the LLM Zoomcamp course structure, homework, deadlines, and progress is the **LLM Zoomcamp course management platform**:

https://courses.datatalks.club/llm-zoomcamp-2026/","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Do you guys have live sessions or office hours for every module, or is the course mostly pre-recorded?","There are no separate live sessions for every module by default. The module materials are mostly pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you get stuck, you can ask in Slack and follow the asking questions guidelines.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"If I get stuck on a module, where should I ask for help and is there a proper way to do it?","If you get stuck, ask in **Slack** and include the **code or command output as text** rather than a screenshot.

The proper way to ask is to follow the **asking questions guidelines**:
https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/

If you want, I can also summarize what a good Slack question looks like.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
How do I know when a live session is happening for this course?,"Live sessions are announced separately when they happen.

To know when one is happening:
- Check the **announcements channel on Telegram and Slack**
- Watch the course’s **YouTube channel** for the live stream
- When live, the **YouTube link is posted in the announcements channel**, and the chat has a **Slido** link for questions

There are **no separate live sessions for every module by default**.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
